ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON
HG;200379/26;4;;;20260131;20260131;4E3581E67B;44991BD0D8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;12227;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200379/26;5;;;20260131;20260131;4E3581E67B;FDC8A39723;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;52345;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200380/26;1;;;20260131;20260131;4E3581E67B;6201EB38EE;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;133346;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200381/26;1;;;20260131;20260131;4E3581E67B;1A1F8FA6A7;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;215875;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200381/26;2;;;20260131;20260131;4E3581E67B;A40680F17F;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;215875;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200382/26;1;;;20260131;20260131;4E3581E67B;D9746B3875;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;215875;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200383/26;1;;;20260131;20260131;4E3581E67B;69C1BEEC0D;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;55784;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200383/26;2;;;20260131;20260131;4E3581E67B;670395ACFA;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;55784;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200383/26;3;;;20260131;20260131;4E3581E67B;5BF0907D9C;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;55784;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200383/26;4;;;20260131;20260131;4E3581E67B;8C013E4DB1;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;55784;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200384/26;1;;;20260131;20260131;4E3581E67B;30CB3604AC;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;1;80046;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;200385/26;1;;;20260131;20260131;4E3581E67B;ED383D6CC8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;40;125704;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200385/26;2;;;20260131;20260131;4E3581E67B;ED383D6CC8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;80;553252;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200385/26;3;;;20260131;20260131;4E3581E67B;ED383D6CC8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;28;329506;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200385/26;4;;;20260131;20260131;4E3581E67B;ED383D6CC8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;21;40921;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200385/26;5;;;20260131;20260131;4E3581E67B;ED383D6CC8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;41;155086;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200385/26;6;;;20260131;20260131;4E3581E67B;ED383D6CC8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;15;79664;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200385/26;7;;;20260131;20260131;4E3581E67B;ED383D6CC8;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;148;141370;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200386/26;1;;;20260131;20260131;4E3581E67B;D9228ACE74;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;12;65527;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200386/26;2;;;20260131;20260131;4E3581E67B;D9228ACE74;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;12;94145;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
HG;200386/26;3;;;20260131;20260131;4E3581E67B;D9228ACE74;;PL03;;;;PL/16;;;;;;;1;1;9005;9005;24;22925;0;;EUR;PLN;382.08;510620;;PL;;;9832C7853A;35
