ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON;Unnamed: 39;Unnamed: 40;Unnamed: 41
HG;25/26;2;;;20260107;20260107;80956530EE;C70F85E262;;PL01;;;;PL/1172;;;;;;;1;2;9005;9005;200;960511;600059;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;26/26;1;;;20260106;20260106;A38B289866;ED6F7E8380;;PL01;;;;PL/748;;;;;;;1;2;9005;9005;10;25268;13955;;EUR;PLN;385.18;210245;;PL;;;8DC236D6E4;;;;
HG;26/26;2;;;20260106;20260106;A2D3B21CC6;ED6F7E8380;;PL01;;;;PL/748;;;;;;;1;2;9005;9005;4;31076;22965;;EUR;PLN;385.18;210245;;PL;;;8DC236D6E4;;;;
HG;26/26;3;;;20260106;20260106;0CB5981230;ED6F7E8380;;PL01;;;;PL/748;;;;;;;1;2;9005;9005;4;16039;12122;;EUR;PLN;385.18;210245;;PL;;;8DC236D6E4;;;;
HG;26/26;4;;;20260106;20260106;39661F2822;ED6F7E8380;;PL01;;;;PL/748;;;;;;;1;2;9005;9005;4;12172;9046;;EUR;PLN;385.18;210245;;PL;;;8DC236D6E4;;;;
HG;26/26;5;;;20260106;20260106;3F684F67E9;ED6F7E8380;;PL01;;;;PL/748;;;;;;;1;2;9005;9005;4;15053;10220;;EUR;PLN;385.18;210245;;PL;;;8DC236D6E4;;;;
HG;26/26;6;;;20260106;20260106;84626EA046;ED6F7E8380;;PL01;;;;PL/748;;;;;;;1;2;9005;9005;16;76913;48215;;EUR;PLN;385.18;210245;;PL;;;8DC236D6E4;;;;
HG;26/26;7;;;20260106;20260106;1235B9F10C;ED6F7E8380;;PL01;;;;PL/748;;;;;;;1;2;9005;9005;15;25306;18777;;EUR;PLN;385.18;210245;;PL;;;8DC236D6E4;;;;
HG;27/26;1;;;20260108;20260108;DC8F41F5E2;9A7160CE66;;PL02;;;;PL/444;;;;;;;1;3;9005;9005;2;62780;53752;;EUR;PLN;384.82;210225;;PL;;;79E2D47638;;;;
HG;27/26;2;;;20260108;20260108;9EBCB4D58F;9A7160CE66;;PL02;;;;PL/444;;;;;;;1;3;9005;9005;2;116100;93574;;EUR;PLN;384.82;210225;;PL;;;79E2D47638;;;;
HG;28/26;1;;;20251231;20251231;4E3581E67B;93C97536FA;;PL01;;;;PL/234;;;;;;;1;2;9005;9005;1;5191600;0;;PLN;PLN;1;510610;;PL;;;8DC236D6E4;;;;
HG;0/0;7;;;20260107;20260107;4E3581E67B;3EB640AE36;;PL01;;;;PL/1150;;;;;;;1;2;9005;9005;3;0;40500;;PLN;PLN;1;510610;;PL;;;8DC236D6E4;;;;
HG;0/0;8;;;20260107;20260107;4E3581E67B;3EB640AE36;;PL01;;;;PL/1150;;;;;;;1;2;9005;9005;3;0;49250;;PLN;PLN;1;510610;;PL;;;8DC236D6E4;;;;
HG;0/0;9;;;20260107;20260107;4E3581E67B;3EB640AE36;;PL01;;;;PL/1150;;;;;;;1;2;9005;9005;430;0;208980;;PLN;PLN;1;510610;;PL;;;8DC236D6E4;;;;
HG;0/0;10;;;20260107;20260107;4E3581E67B;3EB640AE36;;PL01;;;;PL/1150;;;;;;;1;2;9005;9005;5;845000;696000;;PLN;PLN;1;510610;;PL;;;8DC236D6E4;;;;
HG;200246/26;1;;;20260112;20260112;C6377E46DF;46626A6CAF;;PL03;;;;PL/852;;;;;;;1;1;9005;9005;1;2822;1056;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;200246/26;2;;;20260112;20260112;2C5D75AB12;46626A6CAF;;PL03;;;;PL/852;;;;;;;1;1;9005;9005;1;10837;3586;;EUR;PLN;384.82;110788;;PL;;;CAC7A4FAFC;10;;;
HG;29/26;1;;;20260108;20260108;05A310C0E8;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;20;46255;34950;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;2;;;20260108;20260108;063805ACED;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;40;53721;42004;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;3;;;20260108;20260108;0CB5981230;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;10;38097;30305;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;4;;;20260108;20260108;86A921662C;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;12;128561;90410;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;5;;;20260108;20260108;B5D0709F96;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;10;38251;29114;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;6;;;20260108;20260108;D53F7F3607;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;7;26614;19331;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;7;;;20260108;20260108;3F684F67E9;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;50;187985;127748;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;8;;;20260108;20260108;39661F2822;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;10;30401;22616;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;29/26;9;;;20260108;20260108;84626EA046;18CE22ABE2;;PL01;;;;PL/1965;;;;;;;1;2;9005;9005;40;192102;120538;;EUR;PLN;384.82;210245;;PL;;;8DC236D6E4;;;;
HG;0/0;11;;;20260109;20260109;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;0;32400;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;12;;;20260109;20260109;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;0;32400;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;13;;;20260109;20260109;4E3581E67B;F6A1578A9F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;0;24300;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;14;;;20260109;20260109;4E3581E67B;F6A1578A9F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;0;24300;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
HG;0/0;15;;;20260109;20260109;4E3581E67B;1548BD2BF9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;3;0;40500;;PLN;PLN;1;510620;;PL;;;9832C7853A;68;;;
